market,alias,name,id,conf_name,conf_alias,conf_id,venue_capacity
Arizona State,ASU,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,10754
UCLA,UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,13800
Stanford,STAN,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,7392
Utah,UTAH,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,15000
Colorado,COLO,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,11064
Oregon State,ORST,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,9604
California,CAL,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,11877
USC,USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,10258
Washington,WASH,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,10000
Arizona,ARIZ,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,14644
Washington State,WSU,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,11671
Loyola Marymount,LMU,Lions,441a11b4-b506-45b3-8030-fe72a4381c40,West Coast,WCC,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,3900
Santa Clara,SCU,Broncos,28023973-1d9d-4d01-b939-dc8f9b44fb1c,West Coast,WCC,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,4500
Pacific,PAC,Tigers,c9570e17-c4fd-41e6-908a-1a083941319d,West Coast,WCC,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,6150
Gonzaga,GONZ,Bulldogs,2f4d21f8-6d5f-48a5-abca-52a30583871a,West Coast,WCC,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,6000
Portland,PORT,Pilots,224e3b21-30e7-4a05-9e8c-62721d581db8,West Coast,WCC,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,4852
BYU,BYU,Cougars,c31455b2-8a45-4248-aa8f-ce7eab1c6b02,West Coast,WCC,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,19000
San Francisco,SF,Dons,d24efd99-8717-43b9-a086-9986a684ac04,West Coast,WCC,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,5300
Pepperdine,PEPP,Waves,17479d6f-c8f1-458b-9412-8c76279a2bb4,West Coast,WCC,c664ceee-1dc0-4743-a6d8-11fbdfb87f61,3104
